identifier,short,question,qPosition,gseCode,gseType,checkRelated,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad del operador?,5,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
cinturonConductor,Cinturones y abrazaderas,¿Están funcionando todos los cinturones de seguridad de los pasajeros?,6,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,7,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,8,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,9,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,10,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
topesGoma,Topes de goma,¿Están en buenas condiciones los topes de goma de protección de la aeronave?,11,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
barandelasSeguridad,Barandales de seguridad,¿Los barandales de seguridad funcionan sin daños?,12,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
sistemaAproximacion,Sistema de aproximación,¿Existe un sistema de aproximación de aeronaves instalado y en funcionamiento? Aplicable desde 2018,13,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
direccion,Dirección,¿Está funcionando correctamente la dirección?,14,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",15,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Funcionan los limpiaparabrisas y el lavaparabrisas?,16,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",17,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,BUS,BUS - PASSENGER,Coach - Autobus,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,BUS,BUS - PASSENGER,Coach - Autobus,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,BUS,BUS - PASSENGER,Coach - Autobus,
pasamanosCorreas,Pasamanos y correas,¿Están en buenas condiciones los pasamanos y correas dentro del autobús?,4,BUS,BUS - PASSENGER,Coach - Autobus,
estadoGeneralInterior,Estado general al interior,"¿El estado general dentro del autobús es bueno, p.e. libre de FOD?",5,BUS,BUS - PASSENGER,Coach - Autobus,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,6,BUS,BUS - PASSENGER,Coach - Autobus,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad [área del conductor]?,7,BUS,BUS - PASSENGER,Coach - Autobus,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,8,BUS,BUS - PASSENGER,Coach - Autobus,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,9,BUS,BUS - PASSENGER,Coach - Autobus,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,10,BUS,BUS - PASSENGER,Coach - Autobus,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,11,BUS,BUS - PASSENGER,Coach - Autobus,
direccion,Dirección,¿Está funcionando correctamente la dirección?,12,BUS,BUS - PASSENGER,Coach - Autobus,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",13,BUS,BUS - PASSENGER,Coach - Autobus,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Los limpiaparabrisas y el lavaparabrisas funcionan [motorizados]?,14,BUS,BUS - PASSENGER,Coach - Autobus,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,BUS,BUS - PASSENGER,Coach - Autobus,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,CBL,LOADER - BELT,Conveyor,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,CBL,LOADER - BELT,Conveyor,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,CBL,LOADER - BELT,Conveyor,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,CBL,LOADER - BELT,Conveyor,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,5,CBL,LOADER - BELT,Conveyor,
gomaDelantera,Protección de goma delantera,"¿Hay protección de goma en la parte delantera, p. Ruedas de protección y ¿el estado es bueno?",6,CBL,LOADER - BELT,Conveyor,
sistemaAproximacion,Sistema de aproximación,¿Existe un sistema de aproximación de aeronaves instalado y en funcionamiento? Aplicable desde 2017,7,CBL,LOADER - BELT,Conveyor,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,8,CBL,LOADER - BELT,Conveyor,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,9,CBL,LOADER - BELT,Conveyor,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,10,CBL,LOADER - BELT,Conveyor,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, palancas, etc.?",11,CBL,LOADER - BELT,Conveyor,
aceleradorCorreas,Acelerador y correas WASP/FAST,"¿Está funcionando el control del acelerador en el conveyor, incluidas las correas WASP/FAST?",12,CBL,LOADER - BELT,Conveyor,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,13,CBL,LOADER - BELT,Conveyor,
barandelasExtension,Barandales con extensiones,¿Hay barandales equipados con extensiones para mitigar el espacio con el fuselaje en ambos lados?,14,CBL,LOADER - BELT,Conveyor,
pasamanos,Pasamanos,¿Funcionan los pasamanos plegables/desplegables [cuando corresponda]?,15,CBL,LOADER - BELT,Conveyor,
direccion,Dirección,¿Está funcionando correctamente la dirección?,16,CBL,LOADER - BELT,Conveyor,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",17,CBL,LOADER - BELT,Conveyor,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",18,CBL,LOADER - BELT,Conveyor,
calzosGoma,Calzos de goma,¿Están los calzos en su lugar y son de goma?,19,CBL,LOADER - BELT,Conveyor,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",20,CBL,LOADER - BELT,Conveyor,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
gomaDelantera,Protección de goma delantera,"¿Hay protección de goma en la parte delantera, p. Ruedas de protección y ¿el estado es bueno?",5,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, palancas, etc.?",6,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de mano/estacionamiento)?,7,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
barandelasExtension,Barandales con extensiones,¿Hay barandales equipados con extensiones para mitigar el espacio con el fuselaje en ambos lados?,8,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
pasamanos,Pasamanos,¿Funcionan los pasamanos plegables/desplegables [cuando corresponda]?,9,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
barraTiroOjillo,Bara de tiro y ojillo,¿La barra de tiro y ojillo se encuentran en buena condiciones?,10,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",11,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",12,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
calzosGoma,Calzos de goma,¿Están los calzos en su lugar y son de goma?,13,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",14,CBL,LOADER - BELT TOWABLE,Conveyor Remolcable,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,DCR,CART - DE ICER,De-Icer,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,DCR,CART - DE ICER,De-Icer,*Comparten sigla
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,DCR,CART - DE ICER,De-Icer,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,4,DCR,CART - DE ICER,De-Icer,
frenoEstacionamiento,Freno de estacionamiento,¿Está funcionando el freno de estacionamiento?,5,DCR,CART - DE ICER,De-Icer,
barraTiro,Barra de tiro,¿La barra de tiro gira suevemente durante su manipulacion?,6,DCR,CART - DE ICER,De-Icer,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",7,DCR,CART - DE ICER,De-Icer,
pistolaPresion,Pistola de alta presión,¿Funcionan correctamente la pistola de alta presion?,8,DCR,CART - DE ICER,De-Icer,
indicadorTemperatura,Indicador de temperatura,¿Funciona correctamente el indicador de temperatura?,9,DCR,CART - DE ICER,De-Icer,
mangueraBoquilla,Manguera y boquilla,¿Están la manguera y boquilla de eliminación de heces en condiciones de servicio?,10,DCR,CART - DE ICER,De-Icer,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",11,DCR,CART - DE ICER,De-Icer,
extensionElectrica,Extensión eléctrica,¿La extension electrica se encuentra libre de cortes y daños?,12,DCR,CART - DE ICER,De-Icer,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",13,DCR,CART - DE ICER,De-Icer,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",4,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
frenoEstacionamiento,Freno de estacionamiento,¿Funciona correctamente el freno de estacionamiento?,5,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
casterLibre,Caster y libre,¿Estan en buenas condiciones los casters y rodillos?,6,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
segurosGuias,Seguros y guías,¿Estan operativos los seguros y guias de carga y libres de daños?,7,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
tapasCojinetes,Tapas de cojinetes,¿Están las tapas de los cojinetes de las ruedas en su lugar y presentes?,8,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
engancheTrasero,Enganche trasero,¿Está el enganche trasero en buenas condiciones de funcionamiento y equipado con bloqueo positivo (pasador accionado por resorte)?,9,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,10,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
fod,FOD,"¿El equipo se encuentra libre de FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,"PC,DLL,PCA,DLL,DO,TP,DO3,DLL",DOLLY – XXX,Dolly,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,4,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,6,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,7,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,8,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
estabilizadores,Estabilizadores,¿Están los estabilizadores funcionando y sin daños?,9,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
pasamanos,Pasamanos,¿Están los pasamanos libres de daños?,10,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
panelesLaterales,Paneles laterales,¿Están los paneles laterales superiores deslizantes libres de daños y funcionando?,11,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
sistemaBloqueoPanel,Sistema de bloqueo de panel,¿Hay instalado un sistema de bloqueo Anderson [cuando corresponda] o un sistema inhibidor de panel deslizante superior para garantizar que los paneles estén completamente retraídos?,12,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
direccion,Dirección,¿Está funcionando correctamente la dirección?,13,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",14,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,15,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
topesGoma,Topes de goma,¿Están en buenas condiciones los topes de goma de protección de la aeronave?,16,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
sistemaBloqueoPanel,Sistema de bloqueo de panel,¿Existe un sistema de aproximación de aeronaves instalado [aplicable desde 2018] y en funcionamiento?,17,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",18,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Los limpiaparabrisas y el lavaparabrisas funcionan [motorizados]?,19,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
